order_id,date,product,region,quantity,revenue
1000,2026-01-01,위젯 A,서울,4,4000
1001,2026-02-02,위젯 B,부산,11,16500
1002,2026-03-03,기어 C,대구,18,36000
1003,2026-04-04,볼트 D,서울,5,12500
1004,2026-05-05,패널 E,부산,12,36000
1005,2026-06-06,위젯 A,대구,19,19000
1006,2026-01-07,위젯 B,서울,6,9000
1007,2026-02-08,기어 C,부산,13,26000
1008,2026-03-09,볼트 D,대구,20,50000
1009,2026-04-10,패널 E,서울,7,21000
1010,2026-05-11,위젯 A,부산,14,14000
1011,2026-06-12,위젯 B,대구,1,1500
1012,2026-01-13,기어 C,서울,8,16000
1013,2026-02-14,볼트 D,부산,15,37500
1014,2026-03-15,패널 E,대구,2,6000
1015,2026-04-16,위젯 A,서울,9,9000
1016,2026-05-17,위젯 B,부산,16,24000
1017,2026-06-18,기어 C,대구,3,6000
1018,2026-01-19,볼트 D,서울,10,25000
1019,2026-02-20,패널 E,부산,17,51000
1020,2026-03-21,위젯 A,대구,4,4000
1021,2026-04-22,위젯 B,서울,11,16500
1022,2026-05-23,기어 C,부산,18,36000
1023,2026-06-24,볼트 D,대구,5,12500
1024,2026-01-25,패널 E,서울,12,36000
1025,2026-02-26,위젯 A,부산,19,19000
1026,2026-03-27,위젯 B,대구,6,9000
1027,2026-04-01,기어 C,서울,13,26000
1028,2026-05-02,볼트 D,부산,20,50000
1029,2026-06-03,패널 E,대구,7,21000
1030,2026-01-04,위젯 A,서울,14,14000
1031,2026-02-05,위젯 B,부산,1,1500
1032,2026-03-06,기어 C,대구,8,16000
1033,2026-04-07,볼트 D,서울,15,37500
1034,2026-05-08,패널 E,부산,2,6000
1035,2026-06-09,위젯 A,대구,9,9000
1036,2026-01-10,위젯 B,서울,16,24000
1037,2026-02-11,기어 C,부산,3,6000
1038,2026-03-12,볼트 D,대구,10,25000
1039,2026-04-13,패널 E,서울,17,51000
1040,2026-05-14,위젯 A,부산,4,4000
1041,2026-06-15,위젯 B,대구,11,16500
1042,2026-01-16,기어 C,서울,18,36000
1043,2026-02-17,볼트 D,부산,5,12500
1044,2026-03-18,패널 E,대구,12,36000
1045,2026-04-19,위젯 A,서울,19,19000
1046,2026-05-20,위젯 B,부산,6,9000
1047,2026-06-21,기어 C,대구,13,26000
1048,2026-01-22,볼트 D,서울,20,50000
1049,2026-02-23,패널 E,부산,7,21000
1050,2026-03-24,위젯 A,대구,14,14000
1051,2026-04-25,위젯 B,서울,1,1500
1052,2026-05-26,기어 C,부산,8,16000
1053,2026-06-27,볼트 D,대구,15,37500
1054,2026-01-01,패널 E,서울,2,6000
1055,2026-02-02,위젯 A,부산,9,9000
1056,2026-03-03,위젯 B,대구,16,24000
1057,2026-04-04,기어 C,서울,3,6000
1058,2026-05-05,볼트 D,부산,10,25000
1059,2026-06-06,패널 E,대구,17,51000
1060,2026-01-07,위젯 A,서울,4,4000
1061,2026-02-08,위젯 B,부산,11,16500
1062,2026-03-09,기어 C,대구,18,36000
1063,2026-04-10,볼트 D,서울,5,12500
1064,2026-05-11,패널 E,부산,12,36000
1065,2026-06-12,위젯 A,대구,19,19000
1066,2026-01-13,위젯 B,서울,6,9000
1067,2026-02-14,기어 C,부산,13,26000
1068,2026-03-15,볼트 D,대구,20,50000
1069,2026-04-16,패널 E,서울,7,21000
1070,2026-05-17,위젯 A,부산,14,14000
1071,2026-06-18,위젯 B,대구,1,1500
1072,2026-01-19,기어 C,서울,8,16000
1073,2026-02-20,볼트 D,부산,15,37500
1074,2026-03-21,패널 E,대구,2,6000
1075,2026-04-22,위젯 A,서울,9,9000
1076,2026-05-23,위젯 B,부산,16,24000
1077,2026-06-24,기어 C,대구,3,6000
1078,2026-01-25,볼트 D,서울,10,25000
1079,2026-02-26,패널 E,부산,17,51000
1080,2026-03-27,위젯 A,대구,4,4000
1081,2026-04-01,위젯 B,서울,11,16500
1082,2026-05-02,기어 C,부산,18,36000
1083,2026-06-03,볼트 D,대구,5,12500
1084,2026-01-04,패널 E,서울,12,36000
1085,2026-02-05,위젯 A,부산,19,19000
1086,2026-03-06,위젯 B,대구,6,9000
1087,2026-04-07,기어 C,서울,13,26000
1088,2026-05-08,볼트 D,부산,20,50000
1089,2026-06-09,패널 E,대구,7,21000
1090,2026-01-10,위젯 A,서울,14,14000
1091,2026-02-11,위젯 B,부산,1,1500
1092,2026-03-12,기어 C,대구,8,16000
1093,2026-04-13,볼트 D,서울,15,37500
